Local time in Ghorai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
20.09.2014 08:45,25.0,699.4,755.0,,83,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,21.2,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,22.0,67,24,,,,
19.09.2014 17:45,24.0,704.8,752.2,7.0,98,Wind blowing from the north,1,,,100%.,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ",Thunderstorm(s) with or without precipitation.,Shower(s).,,32.8,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus opacus or Nimbostratus.,,6.0,23.7,62,9,,,,
19.09.2014 14:45,30.8,697.8,752.6,-1.2,77,Wind blowing from the south,1,,,100%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,10.0,26.3,,,,,,
19.09.2014 11:45,30.0,699.0,754.4,-0.4,77,Wind blowing from the south,1,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,25.5,,,,,,
19.09.2014 08:45,28.0,699.4,754.8,0.4,80,Wind blowing from the east,1,,,no clouds, ,,,23.0,,,,,,,15.0,24.3,No precipitation,24,,,,
19.09.2014 05:45,23.2,699.0,753.8,,100,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,10.0,23.2,,,,,,
18.09.2014 17:45,29.0,697.3,752.1,-0.2,79,Wind blowing from the west,1,,,40%., ,,,,33.6,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",0.5,25.0,No precipitation,9,,,,
18.09.2014 14:45,36.2,697.5,752.3,0.3,54,Wind blowing from the west,1,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,25.5,,,,,,
18.09.2014 11:45,31.0,697.2,752.8,-1.3,70,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.8,,,,,,
18.09.2014 08:45,,698.5,753.4,1.1,,Wind blowing from the east,1,,,"10%  or less, but not 0", ,,,21.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,23.4,No precipitation,24,,,,
18.09.2014 05:45,22.0,697.4,752.5,,96,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,10.0,21.4,,,,,,
17.09.2014 17:45,28.4,696.1,751.2,-0.5,79,Wind blowing from the south,1,,,20–30%., ,,,,33.2,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.5,No precipitation,9,,,,
17.09.2014 14:45,32.4,696.6,751.6,-8.2,66,Wind blowing from the south,1,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,25.2,,,,,,
17.09.2014 11:45,30.4,704.8,752.3,7.2,68,Wind blowing from the south,1,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,23.9,,,,,,
17.09.2014 08:45,25.0,697.6,752.6,0.8,91,Wind blowing from the south,1,,,40%., ,,,21.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,23.5,4,24,,,,
17.09.2014 05:45,21.8,696.8,751.9,,100,"Calm, no wind",0,,,40%., ,,,,,,,600-1000,,,10.0,21.8,,,,,,
16.09.2014 17:45,26.2,696.4,751.5,-8.3,90,Wind blowing from the east,1,,,70 – 80%.,Clouds generally forming or developing. ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,31.6,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,24.5,0.6,9,,,,
16.09.2014 14:45,36.0,704.7,752.2,,48,Wind blowing from the south,1,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,23.4,,,,,,
15.09.2014 14:45,28.4,698.0,753.2,-0.8,73,Wind blowing from the west-northwest,1,,,60%.,Clouds generally forming or developing. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,Altostratus translucidus.,,3.5,23.0,,,,,,
15.09.2014 11:45,30.0,698.8,754.8,-0.4,61,Wind blowing from the west,1,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,21.7,,,,,,
15.09.2014 08:45,24.2,699.2,755.2,0.8,87,"Calm, no wind",0,,,20–30%., ,,,20.5,,,,"2500 or more, or no clouds.",,,20.0,21.8,15,24,,,,
15.09.2014 05:45,21.0,698.4,754.4,,100,"Calm, no wind",0,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ",,,,,,,,,,0.4,21.0,,,,,,
14.09.2014 17:45,24.4,697.8,753.8,-0.9,94,"Calm, no wind",0,,,40%.,State of sky on the whole unchanged. ,Rain.,Drizzle.,,28.5,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,23.3,15,9,,,,
14.09.2014 14:45,24.8,698.7,754.7,-0.4,93,Wind blowing from the north,1,,,100%.,"Drizzle, not freezing, intermittent, slight at time of observation. ",Rain.,Drizzle.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus opacus or Nimbostratus.,,8.0,23.5,,,,,,
14.09.2014 11:45,25.0,699.1,755.2,0.0,87,Wind blowing from the east,1,,,100%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,10.0,22.6,,,,,,
14.09.2014 08:45,25.2,699.1,755.1,0.7,87,Wind blowing from the east,1,,,40%., ,,,15.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,22.9,0.3,24,,,,
14.09.2014 05:45,21.6,698.4,753.8,,100,"Calm, no wind",0,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,10.0,21.6,,,,,,
13.09.2014 17:45,24.8,697.6,753.0,-0.6,89,Wind blowing from the south,1,,,100%.,Clouds generally forming or developing. ,Drizzle.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,28.5,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,6.0,22.9,0.3,9,,,,
13.09.2014 14:45,27.0,698.2,753.6,-0.7,78,Wind blowing from the east-southeast,1,,,100%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,10.0,22.9,,,,,,
13.09.2014 11:45,26.6,698.9,754.7,0.4,85,Wind blowing from the south,1,,,60%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,300-600,Altostratus translucidus.,,10.0,23.8,,,,,,
13.09.2014 08:45,23.8,698.5,754.3,,94,Wind blowing from the east,1,,,100%.,Clouds generally forming or developing. ,Drizzle.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,10.0,22.8,4,24,,,,
12.09.2014 17:45,24.4,699.2,755.0,0.0,92,"Calm, no wind",0,,,100%.,Clouds generally forming or developing. ,Drizzle.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,29.2,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,15.0,23.0,1,9,,,,
12.09.2014 14:45,28.2,699.2,755.0,-0.8,75,Wind blowing from the west,1,,,100%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,15.0,23.3,,,,,,
12.09.2014 11:45,28.0,700.0,755.6,-0.2,74,Wind blowing from the east,1,,,100%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,10.0,23.0,,,,,,
12.09.2014 08:45,24.0,700.2,755.8,0.7,91,Wind blowing from the east,1,,,100%.,Clouds generally forming or developing. ,Drizzle.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,10.0,22.5,24,24,,,,
12.09.2014 05:45,22.0,699.5,754.9,,100,"Calm, no wind",0,,,40%., ,,,,,,,1000-1500,,,10.0,22.0,,,,,,
11.09.2014 17:45,25.0,698.3,753.7,-0.1,91,Wind blowing from the east,1,,,100%.,"Rain, not freezing, intermittent, slight at time of observation. ",Thunderstorm(s) with or without precipitation.,Rain.,,31.8,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus opacus or Nimbostratus.,,6.0,23.5,5,9,,,,
11.09.2014 14:45,30.2,698.4,753.8,-1.4,72,Wind blowing from the south,1,,,100%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,15.0,24.5,,,,,,
11.09.2014 11:45,28.8,699.8,755.5,-0.3,74,Wind blowing from the south,1,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,23.8,,,,,,
11.09.2014 08:45,24.6,700.1,755.8,0.9,97,Wind blowing from the east,1,,,60%., ,,,23.2,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,24.1,Trace of precipitation,24,,,,
11.09.2014 05:45,23.4,699.2,754.3,,95,"Calm, no wind",0,,,60%., ,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,22.6,,,,,,
10.09.2014 17:45,26.6,697.8,752.8,-0.1,86,"Calm, no wind",0,,,50%., ,,,,31.0,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",15.0,24.1,Trace of precipitation,9,,,,
10.09.2014 14:45,28.8,697.9,753.0,-0.9,80,Wind blowing from the south,1,,,100%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",100-200,Altostratus translucidus.,,4.6,25.0,,,,,,
10.09.2014 11:45,29.4,698.8,754.4,-0.2,70,Wind blowing from the east-southeast,1,,,100%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,15.0,23.4,,,,,,
10.09.2014 08:45,26.2,699.0,754.6,1.0,87,Wind blowing from the south,1,,,40%., ,,,23.0,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,23.9,Trace of precipitation,24,,,,
10.09.2014 05:45,23.2,698.0,753.1,,100,"Calm, no wind",0,,,50%., ,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,23.2,,,,,,
09.09.2014 17:45,25.6,697.3,752.3,,91,"Calm, no wind",0,,,100%., ,,,,30.5,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","90  or more, but not 100%",300-600,,,10.0,24.0,Trace of precipitation,9,,,,
09.09.2014 14:45,29.2,,752.8,,74,Wind blowing from the north,1,,,100%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",15.0,24.1,,,,,,
09.09.2014 11:45,27.0,698.8,754.2,-0.5,84,Wind blowing from the south,1,,,100%.,Clouds generally forming or developing. ,Drizzle.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,10.0,24.1,,,,,,
09.09.2014 08:45,25.0,699.3,754.7,1.4,91,"Calm, no wind",0,,,60%., ,,,23.0,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,23.5,3,24,,,,
09.09.2014 05:45,23.0,697.9,752.9,,100,"Calm, no wind",0,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,23.0,,,,,,
08.09.2014 17:45,27.4,697.9,752.9,-0.3,79,Wind blowing from the south,1,,,"90  or more, but not 100%", ,,,,32.0,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,300-600,Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,23.4,No precipitation,9,,,,
08.09.2014 14:45,29.6,698.2,753.3,-1.2,72,Wind blowing from the south,2,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.0,,,,,,
08.09.2014 11:45,30.0,699.4,755.1,-0.4,73,Wind blowing from the south,1,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.6,,,,,,
08.09.2014 08:45,27.4,699.8,755.5,0.6,82,Wind blowing from the east,1,,,"10%  or less, but not 0", ,,,22.0,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.0,2,24,,,,
08.09.2014 05:45,22.2,699.2,754.9,,100,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,22.2,,,,,,
07.09.2014 17:45,28.0,698.2,753.8,-0.3,80,Wind blowing from the east,1,,,20–30%., ,,,,32.4,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",15.0,24.3,2,9,,,,
07.09.2014 14:45,28.4,698.5,754.2,-0.2,81,Wind blowing from the east,1,,,100%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,15.0,24.8,,,,,,
07.09.2014 11:45,30.6,698.7,754.1,-0.2,70,Wind blowing from the east-southeast,1,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.5,,,,,,
07.09.2014 08:45,27.6,698.9,754.3,0.7,82,Wind blowing from the east,1,,,"10%  or less, but not 0", ,,,22.5,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,24.3,No precipitation,24,,,,
07.09.2014 05:45,22.6,698.2,753.3,,22,"Calm, no wind",0,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,10.0,0.0,,,,,,
06.09.2014 17:45,29.4,696.3,751.3,-0.4,75,Wind blowing from the south,1,,,40%., ,,,,33.2,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.4,No precipitation,9,,,,
06.09.2014 14:45,32.2,696.7,751.8,-1.2,65,Wind blowing from the east-southeast,1,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.9,,,,,,
06.09.2014 11:45,30.0,697.9,753.5,0.0,72,Wind blowing from the east,1,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.3,,,,,,
06.09.2014 08:45,26.0,697.9,753.6,0.6,87,Wind blowing from the south,1,,,20–30%., ,,,21.5,,,,"2500 or more, or no clouds.",,,15.0,23.7,7,24,,,,
06.09.2014 05:45,21.6,697.3,752.3,,100,Wind blowing from the south,1,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,10.0,21.6,,,,,,
05.09.2014 17:45,26.6,695.9,751.0,-8.9,86,Wind blowing from the east,1,,,50%., ,,,,31.5,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",15.0,24.1,7,9,,,,
05.09.2014 14:45,25.0,704.8,752.3,7.2,91,Wind blowing from the west-northwest,1,,,100%.,Clouds generally forming or developing. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,15.0,23.5,,,,,,
05.09.2014 11:45,30.6,697.6,752.7,-0.3,71,Wind blowing from the east-southeast,2,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.8,,,,,,
05.09.2014 08:45,28.0,697.9,752.9,0.5,78,Wind blowing from the east-northeast,1,,,"10%  or less, but not 0", ,,,23.0,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,23.7,No precipitation,24,,,,
05.09.2014 05:45,23.0,697.4,752.5,,91,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",5.0,21.5,,,,,,
04.09.2014 17:45,28.4,696.4,751.5,-0.8,74,Wind blowing from the east,1,,,"10%  or less, but not 0", ,,,,31.6,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,23.3,No precipitation,9,,,,
04.09.2014 14:45,31.0,697.2,752.2,-1.5,67,Wind blowing from the south,2,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.2,,,,,,
04.09.2014 11:45,30.4,698.7,754.3,0.1,68,Wind blowing from the east,1,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,23.9,,,,,,
04.09.2014 08:45,28.0,698.6,754.3,1.0,70,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,22.0,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,22.1,No precipitation,24,,,,
04.09.2014 05:45,22.0,697.6,752.6,,96,Wind blowing from the east,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,21.4,,,,,,
03.09.2014 17:45,28.0,697.2,752.2,-1.0,80,Wind blowing from the east-southeast,2,,,20–30%., ,,,,32.2,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.3,No precipitation,9,,,,
03.09.2014 14:45,31.0,698.2,753.3,-0.6,70,Wind blowing from the east,2,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.8,,,,,,
03.09.2014 11:45,30.0,698.8,754.5,-0.4,69,Wind blowing from the east,3,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,23.7,,,,,,
03.09.2014 08:45,28.0,699.2,754.9,,72,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,22.0,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,22.4,5,24,,,,
02.09.2014 17:45,32.0,697.0,752.1,-0.5,63,Wind blowing from the east,3,,,20–30%.,Clouds generally dissolving or becoming less developed. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,32.0,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,24.0,5,9,,,,
02.09.2014 14:45,31.4,697.5,752.5,,69,Wind blowing from the east-southeast,2,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,25.0,,,,,,
02.09.2014 11:45,30.0,,753.7,,70,Wind blowing from the east,1,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,24.0,,,,,,
02.09.2014 08:45,28.0,697.9,753.6,1.0,70,Wind blowing from the south,1,,,no clouds, ,,,22.5,,,,,,,20.0,22.1,8,24,,,,
02.09.2014 05:45,23.0,696.9,752.1,,86,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,20.6,,,,,,
